Iteration, Elapsed Time, TX Diff Output Swing(mV), Port TXDIFFCTRL0[2:0], Port TXBUFDIFFCTRL0[2:0], TX Pre-Emphasis, Port TXPREEMPHASIS0[2:0], RX Equalization, Port RXEQMIX0[1:0], DFETAP1, DFETAP2, RX Sampling Point(tap), RX Sampling Point(UI), Attr PMA_CDR_SCAN, Link, # Bits, # Errs, BER
89, 00:1:31, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 88, 0.693, 6404058, 0,  8.912E012,  8.912E012, 1
90, 00:1:32, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 89, 0.701, 6404059, 0,  8.564E012,  8.564E012, 1
91, 00:1:33, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 90, 0.709, 640405A, 0,  8.895E012,  8.895E012, 1
92, 00:1:35, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 91, 0.717, 640405B, 0,  8.685E012,  8.685E012, 1
93, 00:1:36, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 92, 0.724, 640405C, 0,  8.909E012,  8.909E012, 1
94, 00:1:37, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 93, 0.732, 640405D, 0,  8.912E012,  8.912E012, 1
95, 00:1:38, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 94, 0.740, 640405E, 0,  8.894E012,  8.894E012, 1
96, 00:1:39, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 95, 0.748, 640405F, 0,  8.939E012,  8.939E012, 1
97, 00:1:40, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 96, 0.756, 6404060, 0,  8.645E012,  8.645E012, 1
98, 00:1:41, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 97, 0.764, 6404061, 0,  8.919E012,  8.919E012, 1
99, 00:1:42, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 98, 0.772, 6404062, 0,  8.940E012,  8.940E012, 1
100, 00:1:43, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 99, 0.780, 6404063, 0,  8.678E012,  8.678E012, 1
